科室,排名,医院名称,官网URL,省份,城市
呼吸科,获提名,江苏省人民医院（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
呼吸科,获提名,海军军医大学第二附属医院,,,
呼吸科,获提名,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
呼吸科,获提名,江西省人民医院（南昌医学院第一附属医院,https://www.jxsrmyy.cn/,江西,南昌
呼吸科,获提名,厦门大学附属第一医院,https://jiankang.baidu.com/med/template/#/pages/hospital/iframe/index?pcIframeSrc=https%3A%2F%2Fjiankang.baidu.com%2F%23%2Fpages%2Fbrand%2Fsearch%2Findex%3Fatn%3Dsearch%26clk_loc%3Dsearch5041_module2_dxwz%26customParams%3DmedQuSndDept%253D%2525E5%2525A6%252587%2525E7%2525A7%252591%26from_sf%3D1%26hidden_tab%3D1%26hospital_name%3D%25E5%258E%25A6%25E9%2597%25A8%25E5%25A4%25A7%25E5%25AD%25A6%25E9%2599%2584%25E5%25B1%259E%25E7%25AC%25AC%25E4%25B8%2580%25E5%258C%25BB%25E9%2599%25A2%26openapi%3D1%26pd%3Dmed%26resource_id%3D5216%26search_channel%3Dwz%26search_section%3Dwz%26sf_ref%3Dsearch_5041_pc%26title%3D%25E6%2590%259C%25E7%25B4%25A2%26vn%3Dmed%26word%3D%25E5%258E%25A6%25E9%2597%25A8%25E5%25A4%25A7%25E5%25AD%25A6%25E9%2599%2584%25E5%25B1%259E%25E7%25AC%25AC%25E4%25B8%2580%25E5%258C%25BB%25E9%2599%25A2%2B%25E5%25AE%2598%25E7%25BD%2591,福建,厦门
呼吸科,获提名,上海市第六人民医院,https://www.6thhosp.com/,上海,上海
呼吸科,获提名,光华中西医结合医院,,,
妇产科,1,上海市第六人民医院,https://www.6thhosp.com/,上海,上海
妇产科,1,海军军医大学第二附属医院,,,
妇产科,2,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
妇产科,3,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
妇产科,4,上海交通大学医学院附属,https://www.rjh.com.cn/,上海,上海
妇产科,5,仁济医院,https://www.renji.com/,,
妇产科,6,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
妇产科,7,复旦大学附属华山医院,https://www.huashan.org.cn/,,
妇产科,8,江苏省人民医院（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
妇产科,9,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
妇产科,10,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
妇产科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
妇产科,获提名,福建省妇幼保健院（福建省妇儿医院,,福建,
妇产科,获提名,福建省人民医院（暨福建中医药大学附属人民医院,,福建,
妇产科,获提名,江西省妇幼保健院,,江西,
妇产科,获提名,中国福利会国际和平妇幼保健院,,,
