科室,排名,医院名,官网URL
核医学,获提名医院,中山大学孙逸仙纪念医院,
核医学,获提名医院,海南省人民医院,
核医学,获提名医院,海南医科大学第一附属医院,
核医学,获提名医院,中国人民解放军南部战区总医院,
超声医学,1,中山大学附属第一医院,
超声医学,2,中山大学孙逸仙纪念医院,
超声医学,3,中山大学附属第三医院,https://www.zssy.com.cn/
超声医学,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
超声医学,5,中山大学肿瘤防治中心,
超声医学,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
超声医学,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
超声医学,获提名医院,深圳市人民医院,https://www.szhospital.com/
超声医学,获提名医院,海南省人民医院,
超声医学,获提名医院,北京大学深圳医院,
超声医学,获提名医院,海南医科大学第一附属医院,
超声医学,获提名医院,深圳市第二人民医院（深圳大学第一附属医院）,
超声医学,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
急诊医学,1,广东省人民医院,https://www.gdghospital.org.cn/
急诊医学,2,中山大学孙逸仙纪念医院,
急诊医学,3,中山大学附属第一医院,
急诊医学,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
急诊医学,5,广西医科大学第二附属医院,https://www.gxmuyfy.cn/
急诊医学,获提名医院,海南医科大学第一附属医院,
急诊医学,获提名医院,广州医科大学附属第二医院,
急诊医学,获提名医院,海南省人民医院,
急诊医学,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
急诊医学,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
急诊医学,获提名医院,湛江中心人民医院,
急诊医学,获提名医院,深圳市宝安人民医院,
急诊医学,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
急诊医学,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
急诊医学,获提名医院,海南省万宁市人民医院,https://www.wnrmyy.com/
急诊医学,获提名医院,广东省中医院,https://www.gzhtcm.com/
急诊医学,获提名医院,中国人民解放军南部战区总医院,
重症医学,1,中山大学附属第一医院,
重症医学,2,广州医科大学附属第一医院,https://www.gyfyy.com/
重症医学,3,广东省人民医院,https://www.gdghospital.org.cn/
重症医学,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
重症医学,5,海南省人民医院,
重症医学,获提名医院,广西壮族自治区人民医院,
重症医学,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
重症医学,获提名医院,海南医科大学第一附属医院,
重症医学,获提名医院,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
重症医学,获提名医院,海口市人民医院,https://www.hkrmyy.com/
重症医学,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
重症医学,获提名医院,海南医科大学第二附属医院,
重症医学,获提名医院,中国人民解放军南部战区总医院,
重症医学,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
重症医学,获提名医院,深圳市人民医院,https://www.szhospital.com/
重症医学,获提名医院,中山大学孙逸仙纪念医院,
临床药学,1,中山大学附属第一医院,
临床药学,2,广东省人民医院,https://www.gdghospital.org.cn/
临床药学,3,南方医科大学南方医院,https://www.nfyy.com/
临床药学,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
临床药学,5,广西壮族自治区人民医院,
临床药学,获提名医院,中山大学孙逸仙纪念医院,
临床药学,获提名医院,海南省人民医院,
临床药学,获提名医院,海南医科大学第一附属医院,
临床药学,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
临床药学,获提名医院,中山大学肿瘤防治中心,
临床药学,获提名医院,南方医科大学第三附属医院,
临床药学,获提名医院,深圳市人民医院,https://www.szhospital.com/
临床药学,获提名医院,中国人民解放军南部战区总医院,
生殖医学,1,中山大学附属第一医院,
生殖医学,2,南方医科大学南方医院,https://www.nfyy.com/
生殖医学,3,中山大学附属第六医院,
生殖医学,4,海南医科大学第一附属医院,
生殖医学,5,广州医科大学附属第三医院,https://www.gy3h.com/
生殖医学,获提名医院,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
生殖医学,获提名医院,中山大学孙逸仙纪念医院,
生殖医学,获提名医院,深圳中山泌尿外科医院,
生殖医学,获提名医院,广西壮族自治区生殖医院（广西壮族自治区生殖健康研究中心）,
生殖医学,获提名医院,广东省妇幼保健院,
生殖医学,获提名医院,北京大学深圳医院,
生殖医学,获提名医院,海南省妇女儿童医学中心,
变态反应,1,广州医科大学附属第一医院,https://www.gyfyy.com/
变态反应,2,广州医科大学附属第二医院,
变态反应,3,中山大学附属第三医院,https://www.zssy.com.cn/
变态反应,4,中山大学附属第一医院,
变态反应,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
变态反应,获提名医院,海南省人民医院,
变态反应,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
变态反应,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
变态反应,获提名医院,华中科技大学协和深圳医院,
健康管理,1,深圳市人民医院,https://www.szhospital.com/
健康管理,2,南方医科大学南方医院,https://www.nfyy.com/
健康管理,3,海南医科大学第一附属医院,
健康管理,4,广西壮族自治区人民医院,
健康管理,5,广东省第二人民医院（广东省应急医院）,
健康管理,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
健康管理,获提名医院,中国人民解放军南部战区总医院,
健康管理,获提名医院,中山大学附属第一医院,
健康管理,获提名医院,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
健康管理,获提名医院,海南省肿瘤医院,https://www.hnszlyy.com/
健康管理,获提名医院,中山大学孙逸仙纪念医院,
健康管理,获提名医院,佛山市第一人民医院,https://www.fsyyy.com/
健康管理,获提名医院,海南省人民医院,
健康管理,获提名医院,北京大学深圳医院,
健康管理,获提名医院,桂林医学院附属医院,https://www.glmc.edu.cn/
健康管理,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
健康管理,获提名医院,海口市人民医院,https://www.hkrmyy.com/
健康管理,获提名医院,深圳大学总医院,
健康管理,获提名医院,广州中医药大学第一附属医院,https://www.gzucm.edu.cn/
结核病,1,深圳市第三人民医院（南方科技大学第二附属医院）,
结核病,2,广州市胸科医院,
结核病,3,广西壮族自治区胸科医院,
结核病,3,南宁市第四人民医院,
结核病,5,海南省人民医院,
结核病,获提名医院,海南医科大学第二附属医院,
结核病,获提名医院,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
结核病,获提名医院,广东省结核病控制中心,
结核病,获提名医院,佛山市第四人民医院,
结核病,获提名医院,中山大学附属第五医院,
结核病,获提名医院,中山大学附属第一医院,
结核病,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
结核病,获提名医院,深圳市慢性病防治中心,
结核病,获提名医院,深圳市人民医院,https://www.szhospital.com/
结核病,获提名医院,海口市结核病防治所,https://www.hktb.com/
全科医学,1,海南医科大学第一附属医院,
全科医学,2,中山大学附属第一医院,
全科医学,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
全科医学,4,南方医科大学南方医院,https://www.nfyy.com/
全科医学,5,广州医科大学附属第一医院,https://www.gyfyy.com/
全科医学,获提名医院,海南省人民医院,
全科医学,获提名医院,深圳市罗湖区人民医院（深圳大学第三附属医院）,https://www.szlhyy.com.cn/
全科医学,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
全科医学,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
全科医学,获提名医院,香港大学深圳医院,
全科医学,获提名医院,海南医科大学第二附属医院,
全科医学,获提名医院,深圳市龙华区中心医院,
全科医学,获提名医院,广西医科大学第二附属医院,https://www.gxmuyfy.cn/
全科医学,获提名医院,南方医科大学第七附属医院,
全科医学,获提名医院,深圳市人民医院,https://www.szhospital.com/
全科医学,获提名医院,广西壮族自治区人民医院,
全科医学,获提名医院,广州市第一人民医院,
疼痛学,1,华中科技大学协和深圳医院,
疼痛学,2,广西医科大学第二附属医院,https://www.gxmuyfy.cn/
疼痛学,3,广州医科大学附属第二医院,
疼痛学,4,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
疼痛学,5,三亚中心医院（海南省第三人民医院）,
疼痛学,获提名医院,深圳市人民医院,https://www.szhospital.com/
疼痛学,获提名医院,佛山市第一人民医院,https://www.fsyyy.com/
疼痛学,获提名医院,深圳大学附属华南医院,
疼痛学,获提名医院,中山大学附属第一医院,
疼痛学,获提名医院,柳州市中医医院,https://www.lzzyy.com/
疼痛学,获提名医院,桂林医学院附属医院,https://www.glmc.edu.cn/
疼痛学,获提名医院,海南省人民医院,
疼痛学,获提名医院,海南医科大学第二附属医院,
疼痛学,获提名医院,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
疼痛学,获提名医院,北京大学深圳医院,
疼痛学,获提名医院,海南医科大学第一附属医院,
疼痛学,获提名医院,中山市人民医院,
疼痛学,获提名医院,广西壮族自治区南溪山医院,https://www.gxnxs.com/
疼痛学,获提名医院,广州医科大学附属第三医院,https://www.gy3h.com/
疼痛学,获提名医院,海南省肿瘤医院,https://www.hnszlyy.com/
疼痛学,获提名医院,深圳平乐骨伤科医院,
运动医学,1,中山大学孙逸仙纪念医院,
运动医学,2,深圳市第二人民医院（深圳大学第一附属医院）,
运动医学,3,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
运动医学,4,佛山市中医院,https://www.fszyy.com/
运动医学,5,海南省人民医院,
运动医学,获提名医院,南方医科大学第三附属医院,
运动医学,获提名医院,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
运动医学,获提名医院,中山大学附属第一医院,
运动医学,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
运动医学,获提名医院,北京大学深圳医院,
运动医学,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
运动医学,获提名医院,广西国际壮医医院,
运动医学,获提名医院,中国人民解放军总医院海南医院,
运动医学,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
罕见病,1,广州市妇女儿童医疗中心,
罕见病,2,中山大学附属第一医院,
罕见病,3,南方医科大学南方医院,https://www.nfyy.com/
罕见病,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
罕见病,5,广州医科大学附属第一医院,https://www.gyfyy.com/
罕见病,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
罕见病,获提名医院,海南省人民医院,
罕见病,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
罕见病,获提名医院,中山大学孙逸仙纪念医院,
罕见病,获提名医院,海口市人民医院,https://www.hkrmyy.com/
罕见病,获提名医院,广东医科大学附属医院,
罕见病,获提名医院,广州医科大学附属第三医院,https://www.gy3h.com/
罕见病,获提名医院,深圳市儿童医院,
罕见病,获提名医院,中山大学中山眼科中心,https://www.gzzoc.com/
罕见病,获提名医院,香港大学深圳医院 ,
